TTL,precise_time,approx_time
0.0,0,0
343.6875,1938264803,2023-10-30T17:40:15.224
344.625,1938270305,2023-10-30T17:40:15.230
347.0625,1938275768,2023-10-30T17:40:15.235
346.3125,1938281349,2023-10-30T17:40:15.241
343.875,1938286983,2023-10-30T17:40:15.247
345.375,1938292617,2023-10-30T17:40:15.252
346.6875,1938298301,2023-10-30T17:40:15.258
344.8125,1938304199,2023-10-30T17:40:15.264
345.0,1938310228,2023-10-30T17:40:15.270
348.5625,1938316336,2023-10-30T17:40:15.276
347.4375,1938322222,2023-10-30T17:40:15.282
344.625,1938328303,2023-10-30T17:40:15.288
348.0,1938334289,2023-10-30T17:40:15.294
347.25,1938339772,2023-10-30T17:40:15.299
345.375,1938345187,2023-10-30T17:40:15.305
345.75,1938350654,2023-10-30T17:40:15.310
348.1875,1938356094,2023-10-30T17:40:15.316
347.0625,1938361524,2023-10-30T17:40:15.321
344.8125,1938366937,2023-10-30T17:40:15.327
346.6875,1938372426,2023-10-30T17:40:15.332
348.75,1938377904,2023-10-30T17:40:15.338
346.5,1938383330,2023-10-30T17:40:15.343
345.1875,1938388779,2023-10-30T17:40:15.348
347.625,1938394197,2023-10-30T17:40:15.354
348.375,1938399607,2023-10-30T17:40:15.359
345.9375,1938405009,2023-10-30T17:40:15.365
346.5,1938410454,2023-10-30T17:40:15.370
348.75,1938415879,2023-10-30T17:40:15.375
348.0,1938421286,2023-10-30T17:40:15.381
345.9375,1938426684,2023-10-30T17:40:15.386
347.25,1938432133,2023-10-30T17:40:15.392
348.9375,1938437573,2023-10-30T17:40:15.397
347.25,1938442979,2023-10-30T17:40:15.403
346.125,1938448432,2023-10-30T17:40:15.408
348.5625,1938453875,2023-10-30T17:40:15.413
348.9375,1938459271,2023-10-30T17:40:15.419
346.875,1938464655,2023-10-30T17:40:15.424
346.875,1938470088,2023-10-30T17:40:15.430
349.125,1938475503,2023-10-30T17:40:15.435
348.9375,1938480933,2023-10-30T17:40:15.441
346.6875,1938486349,2023-10-30T17:40:15.446
348.0,1938491791,2023-10-30T17:40:15.451
349.5,1938497212,2023-10-30T17:40:15.457
348.1875,1938502600,2023-10-30T17:40:15.462
347.0625,1938507987,2023-10-30T17:40:15.468
348.75,1938513421,2023-10-30T17:40:15.473
349.875,1938518846,2023-10-30T17:40:15.478
348.0,1938524238,2023-10-30T17:40:15.484
347.625,1938529677,2023-10-30T17:40:15.489
350.0625,1938535102,2023-10-30T17:40:15.495
349.875,1938540516,2023-10-30T17:40:15.500
347.8125,1938545919,2023-10-30T17:40:15.506
348.5625,1938551362,2023-10-30T17:40:15.511
350.4375,1938556777,2023-10-30T17:40:15.516
349.5,1938562166,2023-10-30T17:40:15.522
348.0,1938567559,2023-10-30T17:40:15.527
349.875,1938572997,2023-10-30T17:40:15.533
351.0,1938578452,2023-10-30T17:40:15.538
349.125,1938583875,2023-10-30T17:40:15.543
348.5625,1938589273,2023-10-30T17:40:15.549
350.8125,1938594713,2023-10-30T17:40:15.554
351.0,1938600127,2023-10-30T17:40:15.560
348.9375,1938605523,2023-10-30T17:40:15.565
349.3125,1938610966,2023-10-30T17:40:15.571
351.375,1938616529,2023-10-30T17:40:15.576
350.4375,1938622209,2023-10-30T17:40:15.582
348.9375,1938627693,2023-10-30T17:40:15.587
350.8125,1938633179,2023-10-30T17:40:15.593
352.125,1938638617,2023-10-30T17:40:15.598
350.25,1938644019,2023-10-30T17:40:15.604
349.875,1938649415,2023-10-30T17:40:15.609
352.3125,1938654876,2023-10-30T17:40:15.614
352.125,1938660312,2023-10-30T17:40:15.620
349.875,1938665762,2023-10-30T17:40:15.625
350.8125,1938671219,2023-10-30T17:40:15.631
352.875,1938676699,2023-10-30T17:40:15.636
351.5625,1938682153,2023-10-30T17:40:15.642
349.875,1938687629,2023-10-30T17:40:15.647
351.9375,1938693082,2023-10-30T17:40:15.653
353.0625,1938698519,2023-10-30T17:40:15.658
350.8125,1938703973,2023-10-30T17:40:15.664
350.4375,1938709384,2023-10-30T17:40:15.669
352.6875,1938714893,2023-10-30T17:40:15.675
